,맥주이름,년,평점
0,ARK Seoulite Ale, 2018,2.8833333333333333
1,ARK Seoulite Ale, 2019,3.05
2,ARK Seoulite Ale, 2020,3.35
3,Asahi Super Dry, 2000,2.7000000000000006
4,Asahi Super Dry, 2001,2.4857142857142853
5,Asahi Super Dry, 2002,2.401123595505618
6,Asahi Super Dry, 2003,2.226506024096386
7,Asahi Super Dry, 2004,2.151190476190476
8,Asahi Super Dry, 2005,1.9711340206185566
9,Asahi Super Dry, 2006,2.0516483516483515
10,Asahi Super Dry, 2007,2.0166666666666666
11,Asahi Super Dry, 2008,2.1533333333333333
12,Asahi Super Dry, 2009,2.053846153846154
13,Asahi Super Dry, 2010,2.04320987654321
14,Asahi Super Dry, 2011,2.2263636363636365
15,Asahi Super Dry, 2012,2.125714285714286
16,Asahi Super Dry, 2013,2.230952380952381
17,Asahi Super Dry, 2014,2.2205882352941178
18,Asahi Super Dry, 2015,2.1333333333333333
19,Asahi Super Dry, 2016,2.217142857142857
20,Asahi Super Dry, 2017,2.3698630136986303
21,Asahi Super Dry, 2018,2.5887323943661973
22,Asahi Super Dry, 2019,2.4285714285714284
23,Asahi Super Dry, 2020,2.345945945945946
24,Asahi Super Dry, 2021,2.4105263157894736
25,Asahi Super Dry Black, 2012,2.4615384615384617
26,Asahi Super Dry Black, 2013,2.375
27,Asahi Super Dry Black, 2014,2.675
28,Asahi Super Dry Black, 2015,2.5
29,Asahi Super Dry Black, 2016,2.82
30,Asahi Super Dry Black, 2017,2.7181818181818183
31,Asahi Super Dry Black, 2018,2.6999999999999997
32,Asahi Super Dry Black, 2019,2.8666666666666667
33,Asahi Super Dry Black, 2020,2.96
34,Bali Hai, 2001,2.025
35,Bali Hai, 2002,1.55
36,Bali Hai, 2003,1.6199999999999999
37,Bali Hai, 2004,1.3
38,Bali Hai, 2005,2.2714285714285714
39,Bali Hai, 2006,1.2571428571428573
40,Bali Hai, 2007,1.1666666666666667
41,Bali Hai, 2008,1.8625
42,Bali Hai, 2009,1.9642857142857142
43,Bali Hai, 2010,1.7866666666666666
44,Bali Hai, 2011,2.209090909090909
45,Bali Hai, 2012,1.6071428571428572
46,Bali Hai, 2013,1.425
47,Bali Hai, 2014,1.911111111111111
48,Bali Hai, 2015,1.9240000000000002
49,Bali Hai, 2016,1.7307692307692308
50,Bali Hai, 2017,1.7
51,Bali Hai, 2018,1.6666666666666667
52,Bali Hai, 2019,1.4
53,Bali Hai, 2021,2.2
54,Bavaria 8.6 (Original), 2000,2.5
55,Bavaria 8.6 (Original), 2001,1.8333333333333333
56,Bavaria 8.6 (Original), 2002,2.076923076923077
57,Bavaria 8.6 (Original), 2003,2.1999999999999997
58,Bavaria 8.6 (Original), 2004,2.2333333333333334
59,Bavaria 8.6 (Original), 2005,2.207692307692308
60,Bavaria 8.6 (Original), 2006,1.976
61,Bavaria 8.6 (Original), 2007,2.5749999999999997
62,Bavaria 8.6 (Original), 2008,1.8666666666666667
63,Bavaria 8.6 (Original), 2009,2.0785714285714287
64,Bavaria 8.6 (Original), 2010,2.1357142857142857
65,Bavaria 8.6 (Original), 2011,2.2153846153846155
66,Bavaria 8.6 (Original), 2012,2.32
67,Bavaria 8.6 (Original), 2013,2.380952380952381
68,Bavaria 8.6 (Original), 2014,1.935
69,Bavaria 8.6 (Original), 2015,2.5217391304347827
70,Bavaria 8.6 (Original), 2016,2.257142857142857
71,Bavaria 8.6 (Original), 2017,2.231578947368421
72,Bavaria 8.6 (Original), 2018,2.0999999999999996
73,Bavaria 8.6 (Original), 2019,2.0941176470588236
74,Bavaria 8.6 (Original), 2020,2.75
75,Bavaria 8.6 (Original), 2021,2.7125
76,Bavaria Pilsener / Premium Beer, 2000,1.9
77,Bavaria Pilsener / Premium Beer, 2001,2.857142857142857
78,Bavaria Pilsener / Premium Beer, 2002,2.1847457627118647
79,Bavaria Pilsener / Premium Beer, 2003,2.088636363636364
80,Bavaria Pilsener / Premium Beer, 2004,1.943478260869565
81,Bavaria Pilsener / Premium Beer, 2005,2.2245614035087717
82,Bavaria Pilsener / Premium Beer, 2006,2.285185185185185
83,Bavaria Pilsener / Premium Beer, 2007,2.265753424657534
84,Bavaria Pilsener / Premium Beer, 2008,2.2781818181818183
85,Bavaria Pilsener / Premium Beer, 2009,2.135135135135135
86,Bavaria Pilsener / Premium Beer, 2010,2.1736842105263157
87,Bavaria Pilsener / Premium Beer, 2011,2.1594202898550723
88,Bavaria Pilsener / Premium Beer, 2012,2.175
89,Bavaria Pilsener / Premium Beer, 2013,2.176829268292683
90,Bavaria Pilsener / Premium Beer, 2014,2.137804878048781
91,Bavaria Pilsener / Premium Beer, 2015,2.1516666666666664
92,Bavaria Pilsener / Premium Beer, 2016,2.3794871794871795
93,Bavaria Pilsener / Premium Beer, 2017,2.107317073170732
94,Bavaria Pilsener / Premium Beer, 2018,2.624242424242424
95,Bavaria Pilsener / Premium Beer, 2019,2.2956521739130435
96,Bavaria Pilsener / Premium Beer, 2020,2.06
97,Bavaria Pilsener / Premium Beer, 2021,2.2285714285714286
98,Beck's, 2000,2.9181818181818184
99,Beck's, 2001,2.5808219178082195
100,Beck's, 2002,2.5262910798122067
101,Beck's, 2003,2.4061643835616437
102,Beck's, 2004,2.3889655172413793
103,Beck's, 2005,2.4181818181818184
104,Beck's, 2006,2.357638888888889
105,Beck's, 2007,2.393081761006289
106,Beck's, 2008,2.3273809523809526
107,Beck's, 2009,2.21
108,Beck's, 2010,2.223529411764706
109,Beck's, 2011,2.353153153153153
110,Beck's, 2012,2.340268456375839
111,Beck's, 2013,2.343661971830986
112,Beck's, 2014,2.1627906976744184
113,Beck's, 2015,2.3008620689655173
114,Beck's, 2016,2.291954022988506
