,맥주이름,Aroma,Appearance,Flavor,Mouthfeel,Overall
0,Kloud Original Gravity,4.336538461538462,2.9038461538461537,4.461538461538462,2.576923076923077,8.817307692307692
0,Kloud Fitz Super Clear,3.769230769230769,2.3846153846153846,3.5,2.0384615384615383,7.384615384615385
0,Asahi Super Dry,3.9104104104104103,2.6486486486486487,4.33983983983984,2.465965965965966,8.588088088088089
2,Tsingtao,3.743924392439244,2.4144914491449145,4.097659765976598,2.337983798379838,7.988748874887489
0,Heineken,3.7664092664092665,2.6534749034749034,4.283783783783784,2.4297779922779923,8.464285714285714
2,Kirin Ichiban,4.05879345603272,2.670245398773006,4.378323108384458,2.4821063394683027,8.671779141104295
0,Sapporo Premium Beer / Draft Beer,4.074054342035162,2.6936600958977093,4.5077250932338835,2.5279701651571655,8.964837506659563
0,Stella Artois,4.464035824237335,2.9792891127903722,5.032185838231178,2.756787013713966,10.164287713406102
0,Guinness Draught,6.242166755177908,4.4232607541157725,6.599221101079837,3.4956629491945477,13.84528235085856
0,Kronenbourg 1664 Blanc,5.58204334365325,3.1805985552115583,5.4035087719298245,2.8266253869969042,10.925696594427244
1,Pilsner Urquell,6.010067899789276,3.5305549051744323,6.555607586045423,3.3952236010302035,13.44205104191056
0,San Miguel,3.640625,2.546875,3.828125,2.2239583333333335,7.645833333333333
0,OB Premier Pilsner,4.379310344827586,2.7586206896551726,4.4655172413793105,2.5689655172413794,8.293103448275861
0,Cass Fresh,3.3195876288659796,2.2920962199312713,3.3608247422680413,2.0240549828178693,6.443298969072165
0,Hite D (Dry Finish),3.847457627118644,2.542372881355932,3.9661016949152543,2.3559322033898304,8.11864406779661
0,Hite Prime Max,3.5258620689655173,2.4051724137931036,3.7844827586206895,2.1379310344827585,7.206896551724138
0,Hite Extra Cold,3.9545454545454546,2.6818181818181817,4.181818181818182,2.522727272727273,8.090909090909092
0,Victoria Bitter,3.6528301886792454,2.5534591194968552,3.991194968553459,2.2553459119496857,7.70566037735849
1,Bintang Pilsener,3.7771535580524342,2.5692883895131087,3.9887640449438204,2.284644194756554,7.734082397003745
0,Krombacher Weizen,6.161144578313253,3.575301204819277,6.146084337349397,3.13855421686747,12.364457831325302
0,Miller Genuine Draft (MGD),2.8776371308016877,2.282700421940928,3.3320675105485233,2.029113924050633,6.2464135021097045
0,Hoegaarden Cherry,6.0,3.6,5.4,3.8,11.0
0,Tiger Radler Lemon,4.090909090909091,2.4545454545454546,4.136363636363637,2.409090909090909,7.681818181818182
0,Suntory The Premium Malt's,4.956284153005464,2.9617486338797816,5.39344262295082,2.814207650273224,10.573770491803279
1,Reeper B. Blondes Weissbier,5.8,3.7,5.0,2.6,10.5
0,Bright Leaf Peeper Red IPA,7.333333333333333,4.0,7.666666666666667,3.6666666666666665,16.0
2,Tiger Beer,3.9123414071510956,2.591118800461361,4.255478662053057,2.383506343713956,8.392733564013842
0,Tsingtao Wheat Beer,5.78125,3.0625,5.5625,2.59375,11.15625
0,Erdinger Weissbier,5.91553544494721,3.56447963800905,6.20211161387632,3.240950226244344,12.67081447963801
1,Carlsberg Pilsner,4.059598853868195,2.692836676217765,4.493982808022922,2.4968481375358165,8.93810888252149
0,Budweiser,2.6822237474262183,2.1233127430793868,3.0473575840768703,1.8878975062914665,5.635323724548158
0,Sapporo Yebisu,4.614942528735632,2.8419540229885056,4.9798850574712645,2.646551724137931,9.841954022988507
0,Paulaner Hefe-Weissbier,6.913283062645012,3.8729698375870067,7.082946635730859,3.6044083526682136,14.54524361948956
1,Desperados,3.52901023890785,2.427758816837315,3.522184300341297,2.043230944254835,6.4482366325369735
1,Peroni Nastro Azzurro,3.97000599880024,2.5332933413317336,4.376724655068986,2.46370725854829,8.542291541691661
0,Edelweiss Weissbier Snowfresh,6.52,3.3314285714285714,6.482857142857143,3.2057142857142855,13.077142857142857
0,Heineken Dark Lager,4.930434782608696,3.1339130434782607,5.2382608695652175,2.7530434782608695,10.671304347826087
1,Kozel Černý (Dark) 10°,5.716026241799438,3.4761012183692594,5.87066541705717,3.025304592314902,11.955951265229615
1,Guinness Original 4.2% (Ireland/UK),6.085141903171953,3.7813021702838063,6.30550918196995,3.1969949916527547,12.824707846410684
0,FiLite,4.0,2.5555555555555554,4.555555555555555,2.7777777777777777,10.0
0,ARK Seoulite Ale,5.4,3.5,5.9,3.2,12.1
0,Jeju Wit Ale,5.588235294117647,3.235294117647059,5.9411764705882355,3.176470588235294,12.117647058823529
0,Stephans Bräu Premium Pilsener,3.935483870967742,2.629032258064516,4.225806451612903,2.3225806451612905,8.129032258064516
0,Stephans Bräu Premium Lager,3.857142857142857,2.619047619047619,4.023809523809524,2.142857142857143,7.809523809523809
0,Stephans Bräu Hefe-Weizen Naturtrüb,5.221153846153846,3.0673076923076925,5.278846153846154,2.6538461538461537,10.35576923076923
0,Bali Hai,3.5393939393939395,2.3333333333333335,3.484848484848485,2.1333333333333333,6.515151515151516
0,Eichbaum Apostel Bräu,4.601307189542483,2.8366013071895426,4.738562091503268,2.542483660130719,9.69281045751634
0,Egger Zwickl,5.2,3.2,5.4,3.0,10.3
0,Egger Märzenbier,4.864583333333333,2.8385416666666665,5.026041666666667,2.625,9.671875
0,Holsten Premium Bier,4.465277777777778,2.673611111111111,4.752314814814815,2.5208333333333335,9.32638888888889
0,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,7.001655629139073,3.8675496688741724,7.154801324503311,3.61341059602649,14.541390728476822
0,Egger Grapefruit Radler,4.5625,2.6875,4.708333333333333,2.5208333333333335,8.895833333333334
0,Bavaria Pilsener / Premium Beer,4.011776251226693,2.661432777232581,4.350343473994112,2.4160942100098137,8.566241413150147
1,Bavaria 8.6 (Original),4.135211267605634,2.740845070422535,4.301408450704225,2.425352112676056,8.377464788732395
0,Lapin Kulta IV A,4.174731182795699,2.6989247311827955,4.408602150537634,2.432795698924731,8.50268817204301
0,Grolsch Premium Lager,4.602660753880266,3.005321507760532,5.082039911308204,2.7583148558758315,10.28470066518847
2,Gambrinus Originál 10° (Desítka),4.747044917257683,3.0401891252955084,4.945626477541371,2.7044917257683214,9.775413711583925
0,Castlemaine XXXX Gold Lager,3.4653465346534653,2.613861386138614,3.8316831683168315,2.1831683168316833,7.430693069306931
0,Leffe Brune / Bruin / Brown,6.62330734509643,3.79072630283135,6.863766926549036,3.490356996306935,14.066475174394748
0,Löwenbräu Original (4.2%),3.6153846153846154,2.076923076923077,3.8076923076923075,2.0384615384615383,7.576923076923077
0,Asahi Super Dry Black,4.863247863247863,3.3076923076923075,5.145299145299146,2.700854700854701,10.538461538461538
0,Harbin Beer,3.6957831325301207,2.424698795180723,3.9066265060240966,2.2740963855421685,7.677710843373494
1,Beck's,4.268533772652389,2.7116968698517296,4.706342668863262,2.5502471169686984,9.322487644151565
0,Hoegaarden Rosée,5.168674698795181,2.974182444061962,4.815834767641997,2.5903614457831323,9.604130808950085
0,Platinum White Ale,7.0,4.0,9.0,5.0,16.0
0,Platinum Pale Ale,5.666666666666667,3.0,5.777777777777778,3.0,11.88888888888889
0,Brooklyn Special Effects (Hoppy Amber/Lager),5.7975460122699385,3.312883435582822,5.58282208588957,2.766871165644172,11.36196319018405
0,Schöfferhofer Grapefruit,5.817220543806647,3.090634441087613,5.7009063444108765,2.9244712990936557,11.214501510574019
0,Volfas Engelman Grünberger Hefeweizen,6.4,3.3333333333333335,6.266666666666667,3.2,12.066666666666666
0,Berliner Kindl Jubiläums Pilsener Premium,4.937931034482759,3.0,5.179310344827586,2.810344827586207,10.303448275862069
0,Red Rock,3.2,2.8666666666666667,3.6666666666666665,2.2666666666666666,6.4
0,Erdinger Weissbier Dunkel,6.018509254627314,3.708854427213607,6.298649324662331,3.244622311155578,12.98249124562281
0,Warsteiner Premium Verum,5.0110610405571485,3.005735354362966,5.401065137238836,2.8959442851290453,10.889389594428513
0,Queen's Ale Blonde Type,6.375,3.375,5.875,3.25,11.5
1,Hoegaarden,6.7606499780412825,3.6723759332454984,6.965963987703118,3.5122968818620994,14.316425120772946
