,맥주이름
0,Kloud Original Gravity
1,Kloud Fitz Super Clear
2,Asahi Super Dry
3,Tsingtao
4,Heineken
5,Kirin Ichiban
6,Sapporo Premium Beer
7,Stella Artois
8,Guinness Draught
9,Kronenbourg 1664 Blanc
10,Pilsner Urquell
11,San Miguel
12,OB Premier Pilsner
13,Cass Fresh
14,Hite D (Dry Finish)
15,Hite Prime Max
16,Hite Extra Cold
17,Victoria Bitter
18,Bintang Pilsener
19,Krombacher Weizen
20,Miller Genuine Draft (MGD)
21,Hoegaarden Cherry
22,Tiger Radler Lemon
23,Suntory The Premium Malt's
24,Reeper B. Blondes Weissbier
25,Bright Leaf Peeper Red IPA
26,Tiger Beer
27,Tsingtao Wheat Beer
28,Erdinger Weissbier
29,Carlsberg Pilsner
30,Budweiser
31,Sapporo Yebisu
32,Paulaner Hefe-Weissbier
33,Desperados
34,Peroni Nastro Azzurro
35,Edelweiss Weissbier Snowfresh
36,Heineken Dark Lager
37,Kozel Černý (Dark) 10°
38,Guinness Original
39,FiLite
40,ARK Seoulite Ale
41,Jeju Wit Ale
42,Stephans Bräu Premium Pilsener
43,Stephans Bräu Premium Lager
44,Stephans Bräu Hefe-Weizen Naturtrüb
45,Bali Hai
46,Eichbaum Apostel Bräu
47,Egger Zwickl
48,Egger Märzenbier
49,Holsten Premium Bier
50,Franziskaner Hefe-Weissbier
51,Egger Grapefruit Radler
52,Bavaria Pilsener
53,Bavaria 8.6 (Original)
54,Lapin Kulta IV A
55,Grolsch Premium Lager
56,Gambrinus Originál 10° (Desítka)
57,Castlemaine XXXX Gold Lager
58,Leffe Brune
59,Löwenbräu Original
60,Asahi Super Dry Black
61,Harbin Beer
62,Beck's
63,Hoegaarden Rosée
64,Platinum White Ale
65,Platinum Pale Ale
66,Brooklyn Special Effects
67,Schöfferhofer Grapefruit
68,Volfas Engelman Grünberger Hefeweizen
69,Berliner Kindl Jubiläums Pilsener Premium
70,Red Rock
71,Erdinger Weissbier Dunkel
72,Warsteiner Premium Verum
73,Queen's Ale Blonde Type
74,Hoegaarden
